Symbol	Description
BMLW	Sembcorp Marine Mb Ecw160902
BMMW	Uob Mb Ecw160704
BMNW	Csc Holdings W201229
BMSW	Hscei 10500 Ub Ecw160629
BMT	New Silkroutes Group Limited
BN2	Valuetronics Holdings Limited
BN4	Keppel Corporation Limited
BNBW	Singtel Mb Ecw161114
BNCW	Singtel Mb Ecw161115
BNDW	Singtel Mb Epw161114
BNE	Kencana Agri Limited
BNFW	Yangzijiang Mb Ecw161206
BNGW	Singapore Post Mb Ecw161206
BNHW	Singapore Post Mb Ecw161205
BNIW	Singtel Mb Epw161115
BNJW	Ocbc Bk Mb Epw161201
BNKW	Uob Mb Ecw160705
BNLW	Uob Mb Epw161003
BNMW	Dbs Mb Ecw160705
BNNW	Dbs Mb Ecw161003
BNOW	Dbs Mb Epw161003
BNPW	Ocbc Bk Mb Ecw161004
BNQW	Sembcorp Marine Mb Ecw161212
BNRW	Kepcorp Mb Ecw161213
BNSW	Kepcorp Mb Ecw161212
BNTW	Kepcorp Mb Epw161213
BNUW	Kepcorp Mb Epw161212
BNVW	Globallogisticpropmbecw161212
BNWW	Globallogisticpropmbepw161212
BNXW	Capitaland Mb Ecw161212
BNYW	Capitaland Mb Epw161212
BNZW	Hsi 23200 Mb Ecw160629
BOCW	Hsi 20000 Mb Epw160629
BODW	Sti 2900 Mb Ecw160630
BOEW	Sti 2850 Mb Ecw160429
BOFW	Sti 2750 Mb Ecw160630
BOGW	Sti 2850 Mb Epw160630
BOHW	Sti 2700 Mb Epw160630
BOIW	Sti 2650 Mb Epw160429
BOL	Memtech International Ltd
BOMW	Nikkei225 16000 Mb Ecw160610
BONW	Nikkei225 18000 Mb Ecw160610
BOOW	Nikkei225 19500 Mb Ecw160610
BOPW	Nikkei225 21500 Mb Ecw160610
BOQW	Nikkei225 15500 Mb Epw160610
BORW	Nikkei225 17500 Mb Epw160610
BOU	Informatics Education Ltd.
BOVW	Chasen Holdings W180201
BPF	Yhi International Limited
BPHW	Kepcorp Mb Ecw161101
BPIW	Kepcorp Mb Epw161101
BPJW	Dbs Mb Ecw160711
BPKW	Ftsechinaa50 10000 Mbecw160629
BPLW	Ftsechinaa50 8000 Mbepw160629
BPNW	Hscei 8400 Ub Ecw160629
BPPW	Hsi 18800 Ub Ecw160629
BPQW	Hsi 19600 Ub Ecw160629
BPRW	Hsi 20800 Ub Ecw160629
BPSW	Hsi 17800 Ub Epw160629
BPTW	Uob Mb Ecw160711
BPUW	Kepcorp Mb Ecw161205
BPVW	Sti 2500 Mb Epw160831
BPWW	Sti 2650 Mb Ecw160831
BPZW	Uob Vt Ecw160722
BQAW	Ocbc Bk Vt Ecw160722
BQBW	Dbs Vt Ecw160722
BQC	Xpress Holdings Ltd
BQD	Envictus International Hldgltd
BQEW	Dbs Mb Ecw161004
BQF	Xmh Holdings Ltd.
BQHW	Globallogisticpropmbecw170123
BQI	Asia Fashion Holdings Limited
BQM	Tiong Woon Corp Holding Ltd
BQN	Bh Global Corporation Limited
BQO	Delong Holdings Limited
BQP	Southern Packaging Group Ltd
BQYW	Uob Vt Ecw160916
BQZW	Dbs Vt Ecw160916
BR9	China Hongxing Sports Limited
BRAW	Ocbc Bk Vt Ecw160916
BRBW	Kepcorp Vt Ecw161212
BRCW	Singapore Exchangevtecw161212
BRD	Sapphire Corporation Limited
BRE	Linc Energy Ltd
BRHW	New Silkroutes Group W190329
BRMW	Hsi 20000 Mb Epw160530
BRNW	Hsi 19200 Mb Epw160530
BROW	Hsi 20600 Mb Ecw160530
BRPW	Hsi 21400 Mb Ecw160530
BRQZ	Aspial Trea S$200m5.3%b200401
BRR	The Stratech Group Limited
BRS	Usp Group Limited
BRTW	Hsi 19000 Vt Epw160629
BRUW	Hsi 20000 Vt Epw160530
BRVW	Hsi 21600 Vt Ecw160629
BRWW	Hsi 20800 Vt Ecw160530
BRXW	Hsi 19800 Mb Ecw160530
BRYW	Ftsechinaa50 9500 Mbecw160830
BRZW	Ftsechinaa50 9000 Mbepw160830
BS6	Yangzijiang Shipbldg Hldgs Ltd
BSDW	Nikkei225 18500 Mb Ecw160909
BSFW	Nikkei225 16000 Mb Epw160909
